Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
1,Precious Achiuwa\achiupr01,PF,21,MIA,34,474,0.584,0.584,,0.584,0.543,0.591,0.591,0,126,111,,109,70,103,238,,12.7,6.6
2,Jaylen Adams\adamsja01,PG,24,MIL,7,18,0.125,0.167,0,0.125,,0.125,0,0.25,27,32,,23,,22,,63,-6.6,-7.1
3,Steven Adams\adamsst01,C,27,NOP,32,892,0.606,0.609,0,0.606,0.444,0.591,0.4,0.006,130,115,,113,57,103,161,1,24.5,8
4,Bam Adebayo\adebaba01,C,23,MIA,33,1119,0.563,0.567,0.333,0.566,0.847,0.631,0.451,0.014,121,107,90,105,109,110,181,4,23.6,59.9
5,LaMarcus Aldridge\aldrila01,C,35,SAS,21,544,0.464,0.509,0.36,0.518,0.838,0.545,0.149,0.302,100,96,98,96,108,95,60,77,-9.6,-14.2
6,Nickeil Alexander-Walker\alexani01,SG,22,NOP,27,471,0.416,0.519,0.297,0.485,0.788,0.513,0.168,0.462,90,98,81,90,101,90,67,117,-20.8,-24.8
7,Ty-Shon Alexander\alexaty01,SG,22,PHO,3,8,0,0,0,0,,0,0,0.333,,,,,,,,84,-3.2,-3.4
8,Grayson Allen\allengr01,SG,25,MEM,23,551,0.408,0.412,0.407,0.549,0.895,0.592,0.232,0.689,88,78,110,102,115,104,93,175,3.7,7.4
9,Jarrett Allen\allenja01,C,22,TOT,35,977,0.669,0.675,0.5,0.677,0.741,0.714,0.646,0.031,144,128,136,126,95,125,260,8,71.8,93.7
10,Jarrett Allen\allenja01,C,22,BRK,12,320,0.677,0.677,,0.677,0.754,0.73,0.939,0,146,128,,126,97,128,377,,18.1,29
11,Jarrett Allen\allenja01,C,22,CLE,23,657,0.667,0.674,0.5,0.677,0.733,0.707,0.547,0.042,143,128,136,126,94,124,220,11,53.6,64.7
12,Al-Farouq Aminu\aminual01,PF,30,ORL,9,163,0.395,0.393,0.4,0.465,0.778,0.5,0.209,0.349,85,74,109,87,100,88,84,88,-6.2,-6.7
13,Kyle Anderson\anderky01,PF,27,MEM,29,803,0.477,0.533,0.39,0.553,0.753,0.585,0.27,0.393,103,101,106,103,97,102,109,100,9.5,9.3
14,Giannis Antetokounmpo\antetgi01,PF,26,MIL,34,1153,0.558,0.632,0.279,0.587,0.664,0.62,0.551,0.212,120,120,76,109,85,108,222,54,63.9,76.9
15,Kostas Antetokounmpo\antetko01,PF,23,LAL,3,19,0.333,0.333,,0.333,0.5,0.387,0.667,0,72,63,,62,64,68,268,,-1.2,-1.4
16,Thanasis Antetokounmpo\antetth01,SF,28,MIL,25,220,0.585,0.688,0.222,0.61,0.462,0.599,0.317,0.22,126,130,60,113,59,105,127,56,5.9,2.6
17,Carmelo Anthony\anthoca01,PF,36,POR,33,846,0.409,0.421,0.391,0.485,0.846,0.529,0.233,0.386,88,80,106,90,109,93,94,98,-41.3,-36.8
18,Cole Anthony\anthoco01,PG,20,ORL,25,667,0.376,0.398,0.325,0.426,0.836,0.469,0.204,0.309,81,75,88,79,107,82,82,78,-60.1,-60.2
